data,y
2019-09-26,21895
2019-09-27,21918
2019-09-30,22066
2019-10-01,21878
2019-10-02,21240
2019-10-03,21225
2019-10-04,21381
2019-10-07,21578
2019-10-08,21336
2019-10-09,21470
2019-10-10,21683
2019-10-11,22113
2019-10-14,22045
2019-10-15,22323
2019-10-16,22398
2019-10-17,22356
2019-10-18,22270
2019-10-21,22432
2019-10-22,22452
2019-10-23,22291
2019-10-24,22487
2019-10-25,22545
2019-10-28,22650
2019-10-29,22625
2019-10-30,22595
2019-10-31,22662
2019-11-01,22866
2019-11-04,23256
2019-11-05,23315
2019-11-06,23309
2019-11-07,23460
2019-11-08,23477
2019-11-11,23449
2019-11-12,23761
2019-11-13,23542
2019-11-14,23447
2019-11-15,23553
2019-11-18,23433
2019-11-19,23328
2019-11-20,23360
2019-11-21,23293
2019-11-22,23278
2019-11-25,23454
2019-11-26,23542
2019-11-27,23464
2019-11-28,23329
2019-11-29,23273
2019-12-02,22719
2019-12-03,22725
2019-12-04,23026
2019-12-05,22965
2019-12-06,23178
2019-12-09,22941
2019-12-10,23115
2019-12-11,23175
2019-12-12,23402
2019-12-13,23322
2019-12-16,23530
2019-12-17,23631
2019-12-18,23653
2019-12-19,23686
2019-12-20,23983
2019-12-23,23845
2019-12-27,23701
2019-12-30,23410
2020-01-02,23723
2020-01-03,23596
2020-01-06,23476
2020-01-07,23617
2020-01-08,23726
2020-01-09,23930
2020-01-10,23931
2020-01-13,23781
2020-01-14,23815
2020-01-15,23655
2020-01-16,23824
2020-01-17,24035
2020-01-20,23977
2020-01-21,23835
2020-01-22,23674
2020-01-23,23694
2020-01-24,23931
2020-01-27,23413
2020-01-28,24010
2020-01-29,24160
2020-01-30,23762
2020-01-31,23219
2020-02-03,23417
2020-02-04,23832
2020-02-05,24224
2020-02-06,24478
2020-02-07,24462
2020-02-10,24500
2020-02-11,24674
2020-02-12,24857
2020-02-13,24887
2020-02-14,24852
2020-02-17,25097
2020-02-18,25208
2020-02-19,25465
2020-02-20,25075
2020-02-21,24751
2020-02-24,23473
2020-02-25,23100
2020-02-26,23367
2020-02-27,22813
2020-02-28,22026
2020-03-02,21673
2020-03-03,21696
2020-03-04,21897
2020-03-05,21571
2020-03-06,20844
2020-03-09,18542
2020-03-10,17883
2020-03-11,17887
2020-03-12,15105
2020-03-13,15889
2020-03-16,15009
2020-03-17,15361
2020-03-18,15189
2020-03-19,15446
2020-03-20,15642
2020-03-23,15242
2020-03-24,16540
2020-03-25,16970
2020-03-26,17081
2020-03-27,16553
2020-03-30,16724
2020-03-31,16924
2020-04-01,16404
2020-04-02,16694
2020-04-03,16324
2020-04-06,16979
2020-04-07,17353
2020-04-08,17319
2020-04-09,17566
2020-04-14,17491
2020-04-15,16636
2020-04-16,16670
2020-04-17,16966
2020-04-20,16999
2020-04-21,16372
2020-04-22,16681
2020-04-23,16904
2020-04-24,16740
2020-04-27,17281
2020-04-28,17581
2020-04-29,17940
2020-04-30,17561
2020-05-04,16917
2020-05-05,17256
2020-05-06,17018
2020-05-07,17107
2020-05-08,17302
2020-05-11,17251
2020-05-12,17417
2020-05-13,17054
2020-05-14,16745
2020-05-15,16710
2020-05-18,17386
2020-05-19,17061
2020-05-20,17205
2020-05-21,17055
2020-05-22,17293
2020-05-25,17574
2020-05-26,17833
2020-05-27,17872
2020-05-28,18327
2020-05-29,18177
2020-06-01,18499
2020-06-02,18963
2020-06-03,19640
2020-06-04,19631
2020-06-05,20190
2020-06-08,20228
2020-06-09,19918
2020-06-10,19770
2020-06-11,18805
2020-06-12,18865
2020-06-15,18991
2020-06-16,19629
2020-06-17,19586
2020-06-18,19489
2020-06-19,19632
2020-06-22,19391
2020-06-23,19773
2020-06-24,19076
2020-06-25,19174
2020-06-26,19046
2020-06-29,19372
2020-06-30,19289
2020-07-01,19207
2020-07-02,19794
2020-07-03,19616
2020-07-06,19974
2020-07-07,19922
2020-07-08,19831
2020-07-09,19439
2020-07-10,19688
2020-07-13,19943
2020-07-14,19792
2020-07-15,20193
2020-07-16,20278
2020-07-17,20344
2020-07-20,20622
2020-07-21,20696
2020-07-22,20567
2020-07-23,20443
2020-07-24,20060
2020-07-27,20000
2020-07-28,19900
2020-07-29,19854
2020-07-30,19218
2020-07-31,19097
2020-08-03,19360
2020-08-04,19577
2020-08-05,19737
2020-08-06,19455
2020-08-07,19487
2020-08-10,19613
2020-08-11,20187
2020-08-12,20409
2020-08-13,20247
2020-08-14,20013
2020-08-17,19954
2020-08-18,19833
2020-08-19,20039
2020-08-20,19774
2020-08-21,19679
2020-08-24,20096
2020-08-25,20049
2020-08-26,20126
2020-08-27,19863
2020-08-28,19831
2020-08-31,19624
2020-09-01,19585
2020-09-02,19826
2020-09-03,19542
2020-09-04,19368
2020-09-07,19711
2020-09-08,19375
2020-09-09,19767
2020-09-10,19813
2020-09-11,19823
2020-09-14,19791
2020-09-15,19966
2020-09-16,19936
2020-09-17,19752
2020-09-18,19691
2020-09-21,18740
2020-09-22,18852
2020-09-23,18873
2020-09-24,18852
2020-09-25,18626
2020-09-28,19103
2020-09-29,19024
2020-09-30,18965
2020-10-01,19001
2020-10-02,18978
2020-10-05,19197
2020-10-06,19366
2020-10-07,19369
2020-10-08,19523
2020-10-09,19535
2020-10-12,19651
2020-10-13,19501
2020-10-14,19558
2020-10-15,19006
2020-10-16,19333
2020-10-19,19328
2020-10-20,19436
2020-10-21,19028
2020-10-22,19004
2020-10-23,19219
2020-10-26,18889
2020-10-27,18602
2020-10-28,17851
2020-10-29,17805
2020-10-30,17901
2020-11-02,18339
2020-11-03,18924
2020-11-04,19322
2020-11-05,19691
2020-11-06,19653
2020-11-09,20712
2020-11-10,20844
2020-11-11,20965
2020-11-12,20816
2020-11-13,20894
2020-11-16,21301
2020-11-17,21430
2020-11-18,21590
2020-11-19,21518
2020-11-20,21681
2020-11-23,21718
2020-11-24,22131
2020-11-25,22306
2020-11-26,22211
2020-11-27,22343
2020-11-30,22055
2020-12-01,22117
2020-12-02,21952
2020-12-03,22019
2020-12-04,22170
2020-12-07,22105
2020-12-08,22061
2020-12-09,21969
2020-12-10,21921
2020-12-11,21695
2020-12-14,21789
2020-12-15,21941
2020-12-16,21961
2020-12-17,22032
2020-12-18,21926
2020-12-21,21299
2020-12-22,21711
2020-12-23,22025
2020-12-28,22181
2020-12-29,22154
2020-12-30,22129
2021-01-04,22209
2021-01-05,22074
2021-01-06,22629
2021-01-07,22669
2021-01-08,22641
2021-01-11,22602
2021-01-12,22545
2021-01-13,22645
2021-01-14,22559
2021-01-15,22284
2021-01-18,22464
2021-01-19,22399
2021-01-20,22594
2021-01-21,22408
2021-01-22,22040
2021-01-25,21694
2021-01-26,21973
2021-01-27,21636
2021-01-28,21875
2021-01-29,21538
2021-02-01,21791
2021-02-02,22018
2021-02-03,22504
2021-02-04,22898
2021-02-05,23079
2021-02-08,23449
2021-02-09,23295
2021-02-10,23241
2021-02-11,23310
2021-02-12,23392
2021-02-15,23594
2021-02-16,23423
2021-02-17,23151
2021-02-18,22928
2021-02-19,23145
2021-02-22,23005
2021-02-23,22901
2021-02-24,23100
2021-02-25,23064
2021-02-26,22829
2021-03-01,23238
2021-03-02,23081
2021-03-03,23043
2021-03-04,23097
2021-03-05,22955
2021-03-08,23691
2021-03-09,23840
2021-03-10,23918
2021-03-11,24145
2021-03-12,24111
2021-03-15,24139
2021-03-16,24262
2021-03-17,24293
2021-03-18,24369
2021-03-19,23952
2021-03-22,24000
2021-03-23,23868
2021-03-24,23937
2021-03-25,23946
2021-03-26,24131
2021-03-29,24170
2021-03-30,24387
2021-03-31,24394
2021-04-01,24457
2021-04-06,24511
2021-04-07,24469
2021-04-08,24330
2021-04-09,24184
2021-04-12,24192
2021-04-13,24334
2021-04-14,24315
2021-04-15,24281
2021-04-16,24504
2021-04-19,24450
2021-04-20,23835
2021-04-21,23935
2021-04-22,24165
2021-04-23,24155
2021-04-26,24291
2021-04-27,24235
2021-04-28,24242
2021-04-29,24168
2021-04-30,23911
2021-05-03,24184
2021-05-04,23980
2021-05-05,24241
2021-05-06,24283
2021-05-07,24387
2021-05-10,24588
2021-05-11,24176
2021-05-12,24260
2021-05-13,24280
2021-05-14,24550
2021-05-17,24654
2021-05-18,24689
2021-05-19,24287
2021-05-20,24491
2021-05-21,24755
2021-05-24,24888
2021-05-25,24881
2021-05-26,24750
2021-05-27,25038
2021-05-28,25168
2021-05-31,25172
2021-06-01,25319
2021-06-02,25350
2021-06-03,25458
2021-06-04,25553
2021-06-07,25797
2021-06-08,25806
2021-06-09,25738
2021-06-10,25643
2021-06-11,25726
2021-06-14,25751
2021-06-15,25746
2021-06-16,25762
2021-06-17,25721
2021-06-18,25635
2021-06-21,25276
2021-06-22,25240
2021-06-23,24977
2021-06-24,25311
2021-06-25,25396
2021-06-28,25112
2021-06-29,25247
2021-06-30,25004
2021-07-01,25154
2021-07-02,25174
2021-07-05,25346
2021-07-06,25097
2021-07-07,25172
2021-07-08,24515
2021-07-09,24944
2021-07-12,25191
2021-07-13,25048
2021-07-14,25110
2021-07-15,24759
2021-07-16,24679
2021-07-19,23951
2021-07-20,24065
2021-07-21,24644
2021-07-22,24795
2021-07-23,25105
2021-07-26,25257
2021-07-27,25049
2021-07-28,25237
2021-07-29,25490
2021-07-30,25357
2021-08-02,25343
2021-08-03,25335
2021-08-04,25467
2021-08-05,25649
2021-08-06,25986
2021-08-09,26139
2021-08-10,26184
2021-08-11,26442
2021-08-12,26558
2021-08-13,26651
2021-08-16,26442
2021-08-17,26216
2021-08-18,26356
2021-08-19,25940
2021-08-20,25913
2021-08-23,26043
2021-08-24,26023
2021-08-25,26051
2021-08-26,25863
2021-08-27,25998
2021-08-30,26027
2021-08-31,26010
2021-09-01,26169
2021-09-02,26236
2021-09-03,26074
2021-09-06,26262
2021-09-07,26071
2021-09-08,25903
2021-09-09,25904
2021-09-10,25685
2021-09-13,25916
2021-09-14,26032
2021-09-15,25774
2021-09-16,25994
2021-09-17,26103
2021-09-20,24745
2021-09-21,25035
2021-09-22,25393
2021-09-23,25778
2021-09-24,25676
2021-09-27,25837
2021-09-28,25291
2021-09-29,25425
2021-09-30,25373
2021-10-01,25295
2021-10-04,25163
2021-10-05,25638
2021-10-06,25326
2021-10-07,25708
2021-10-08,25767
2021-10-11,25618
2021-10-12,25684
2021-10-13,25663
2021-10-14,25996
2021-10-15,26195
2021-10-18,26112
2021-10-19,26197
2021-10-20,26419
2021-10-21,26378
2021-10-22,26417
2021-10-25,26654
2021-10-26,26827
2021-10-27,26649
2021-10-28,26737
2021-10-29,26747
2021-11-01,27058
2021-11-02,27047
2021-11-03,27216
2021-11-04,27346
2021-11-05,27652
2021-11-08,27567
2021-11-09,27308
2021-11-10,27406
2021-11-11,27483
2021-11-12,27586
2021-11-15,27708
2021-11-16,27672
2021-11-17,27685
2021-11-18,27518
2021-11-19,27204
2021-11-22,27372
2021-11-23,26973
2021-11-24,27113
2021-11-25,27083
2021-11-26,25847
2021-11-29,26044
2021-11-30,25802
2021-12-01,26351
2021-12-02,26000
2021-12-03,25922
2021-12-06,26484
2021-12-07,27125
2021-12-08,26754
2021-12-09,26795
2021-12-10,26709
2021-12-13,26549
2021-12-14,26577
2021-12-15,26675
2021-12-16,26805
2021-12-17,26569
2021-12-20,26073
2021-12-21,26513
2021-12-22,26694
2021-12-23,26877
2021-12-27,27107
2021-12-28,27334
2021-12-29,27218
2021-12-30,27248
2022-01-03,27616
2022-01-04,27802
2022-01-05,28031
2022-01-06,27541
2022-01-07,27461
2022-01-10,27255
2022-01-11,27404
2022-01-12,27583
2022-01-13,27710
2022-01-14,27415
2022-01-17,27548
2022-01-18,27348
2022-01-19,27235
2022-01-20,27443
2022-01-21,26922
2022-01-24,25960
2022-01-25,26010
2022-01-26,26569
2022-01-27,26831
2022-01-28,26551
2022-01-31,26767
2022-02-01,27157
2022-02-02,27366
2022-02-03,27054
2022-02-04,26590
2022-02-07,26319
2022-02-08,26374
2022-02-09,27081
2022-02-10,27168
2022-02-11,26941
2022-02-14,26380
2022-02-15,26926
2022-02-16,26955
2022-02-17,26641
2022-02-18,26498
2022-02-21,26031
2022-02-22,26025
2022-02-23,25958
2022-02-24,24894
2022-02-25,25738
2022-02-28,25417
2022-03-01,24378
2022-03-02,23990
2022-03-03,23447
2022-03-04,21981
2022-03-07,21668
2022-03-08,21818
2022-03-09,23277
2022-03-10,22337
2022-03-11,22491
2022-03-14,22843
2022-03-15,22940
2022-03-16,23727
2022-03-17,23588
2022-03-18,23620
2022-03-21,23542
2022-03-22,23803
2022-03-23,23561
2022-03-24,23663
2022-03-25,23800
2022-03-28,23958
2022-03-29,24525
2022-03-30,24533
2022-03-31,24244
2022-04-01,24357
2022-04-04,24392
2022-04-05,24187
2022-04-06,23659
2022-04-07,23529
2022-04-08,24051
2022-04-11,24014
2022-04-12,23927
2022-04-13,23961
2022-04-14,24130
2022-04-19,24095
2022-04-20,24380
2022-04-21,24324
2022-04-22,23765
2022-04-25,23416
2022-04-26,23186
2022-04-27,23291
2022-04-28,23539
2022-04-29,23759
2022-05-02,23324
2022-05-03,23729
2022-05-04,23391
2022-05-05,23257
2022-05-06,22997
2022-05-09,22344
2022-05-10,22582
2022-05-11,23241
2022-05-12,23099
2022-05-13,23546
2022-05-16,23541
2022-05-17,23791
2022-05-18,23573
2022-05-19,23574
2022-05-20,23620
2022-05-23,23927
2022-05-24,23696
2022-05-25,24062
2022-05-26,24347
2022-05-27,24456
2022-05-30,24595
2022-05-31,24323
2022-06-01,24069
2022-06-02,24235
2022-06-03,23984
2022-06-06,24365
2022-06-07,24170
2022-06-08,24052
2022-06-09,23591
2022-06-10,22383
2022-06-13,21735
2022-06-14,21689
2022-06-15,22283
2022-06-16,21562
2022-06-17,21630
2022-06-20,21705
2022-06-21,21797
2022-06-22,21521
2022-06-23,21350
2022-06-24,21849
2022-06-27,21674
2022-06-28,21831
2022-06-29,21570
2022-06-30,21043
2022-07-01,21072
2022-07-04,21100
2022-07-05,20463
2022-07-06,20659
2022-07-07,21273
2022-07-08,21489
2022-07-11,21311
2022-07-12,21224
2022-07-13,21037
2022-07-14,20317
2022-07-15,20702
2022-07-18,20967
2022-07-19,21531
2022-07-20,21187
2022-07-21,21016
2022-07-22,21080
2022-07-25,21248
2022-07-26,21035
2022-07-27,21334
2022-07-28,21767
2022-07-29,22224
2022-08-01,22291
2022-08-02,22191
2022-08-03,22427
2022-08-04,22491
2022-08-05,22429
2022-08-08,22581
2022-08-09,22339
2022-08-10,22557
2022-08-11,22704
2022-08-12,22825
2022-08-16,22857
2022-08-17,22611
2022-08-18,22846
2022-08-19,22417
2022-08-22,22018
2022-08-23,22224
2022-08-24,22296
2022-08-25,22325
2022-08-26,21778
